Fact,2007-12-29,2008-12-27,2009-06-27,2009-09-26,2009-12-26,2010-03-27,2010-05-12,2010-06-26,2010-09-25,2010-12-25,2011-03-26,2011-06-25,2011-06-26,2011-09-24,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-02-28,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-05-13,2014-05-31,2014-06-28,2014-09-22,2014-09-27,2014-12-27,2015-02-24,2015-02-28,2015-03-28,2015-06-27,2015-09-26,2015-12-26,2016-03-26,2016-05-31,2016-06-25,2016-09-24,2016-12-31,2017-04-01,2017-07-01,2017-09-30,2017-12-30,2017-12-31,2018-03-31,2018-06-08,2018-06-30,2018-09-29,2018-10-31,2018-12-29,2019-01-01,2019-03-30,2019-06-29,2019-09-28,2019-12-28,2020-03-28,2020-06-27,2020-09-26,2020-12-26,2021-03-27,2021-06-26,2021-09-25,2021-12-25,2022-03-26,2022-06-25,2022-09-24,2022-12-24,2022-12-31,2023-02-28,2023-04-01,2023-07-01,2023-09-30,2023-12-30,2024-03-30,2024-06-29,2024-09-28,2024-12-28
DeferredTaxAssetsInProcessResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7650000,,,,,22751000,,,,41214000
DeferredTaxAssetsTaxCreditCarryforwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67249000,,,,,58519000,,,,56180000
EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitPercent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,,,,0.005,,,,,0.011,,,,0.007
MinorityInterestChangeInRedemptionValue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7374000,,,,
NetIncomeLossAttributableToRedeemableNoncontrollingInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2095000,,,,,3388000,,-2195000,-578000,-1287000,-5937000,607000,1434000,-458000,2365000
RedeemableNoncontrollingInterestEquityCarryingAmount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60865000,,,,,62792000,44980000,46249000,46111000,51519000
SegmentExpenditureAdditionToLongLivedAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107790000,,,,,93288000,,,,,96771000,,,,79451000
TradeReceivablesHeldForSaleAmount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000000,,,,,60000000,,,,20000000
TreasuryStockCarryingBasis,,,,,,,,,,,,,,,,,,,,,,,,,,,1333961000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278832000,1318961000,
TreasuryStockCommonShares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6549833,,,,,7691192,,,,7868382
DebtAndEquitySecuritiesUnrealizedGainLoss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3374000,,1194000,941000,-344000,3564000,1431000,525000,1160000,3634000
GoodwillPurchaseAccountingAdjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735000,735000,331000,331000
InterestExpenseNonoperating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47534000,,,14917000,13472000,56808000,,15846000,14313000,58722000
ProceedsFromPaymentsForOtherFinancingActivities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,-2436000,-2436000
